Date,Forecasted Price,Lower Bound,Upper Bound
2001-01-02,25.687480442869823,11.502190899022422,38.82721811265299
2001-01-03,25.6919294980536,12.131546902869987,40.10820515944305
2001-01-04,25.791444857732564,12.657989384285795,39.234114211181414
2001-01-05,25.811631883173895,12.393097345242793,38.268241492895115
2001-01-08,25.77518110651334,12.143109173762962,39.16655482498602
2001-01-09,25.88225614749735,12.03005956304453,38.94988419157604
2001-01-10,25.864275535748572,12.853237787620499,38.410345796637515
2001-01-11,25.940171512817578,12.191462612780086,39.415784242044595
2001-01-12,25.935594821353796,12.070797621170266,39.39137651602573
2001-01-16,25.8973625260913,12.403050855783393,39.37919218016271
2001-01-17,25.85046005004824,12.862449117619715,39.17710335221276
2001-01-18,25.897230759087183,11.946905517396159,38.674412019575925
2001-01-19,25.863673656091716,13.439676492604205,39.2791469730303
